Fr	Uin	Uout	b	a	k	phi	dphi	dk	tanphi	tanphipo
15	1	1	2	1	1	0.523598775598299	0.05694947974515	0.01	0.577350269189626	0.267949192431123
20	1	1	4	1.5	1	0.384396774495639	0.026957970670547	0.01	0.404519917477945	0.194600504301446
30	1	1	6	1.3	1	0.2183987279556	0.017071865540767	0.01	0.221938677228676	0.10963549365924
46	1	1	6	0	1	0	0.016666666666667	0.01	0	0
70	1	1	6	1.7	1	0.287268098420794	0.017378188711303	0.01	0.295440024734363	0.144630028043341
100	1	1	6	3.2	1	0.562536244543856	0.019698538690717	0.01	0.630488324991281	0.28892780744381
200	1	1	6	5.2	1	1.04848150498885	0.033252463097125	0.01	1.73719807243076	0.578206555880932
250	1	1	7	6.5	1	1.19054512010196	0.038130905919053	0.01	2.50185116648838	0.677219044407182
380	1	1	7	7	1	1.5707963267949	0.00069999999916	0.01	1.63312393531954E+016	1
800	1	1	7	6	1	1.02969680083775	0.027674919444976	0.01	1.66410058867569	0.565741454089335
1500	1	1	7	4.3	1	0.661480438130831	0.018100513181693	0.01	0.778479806784115	0.3433521414287
3000	1	1	7	2.5	1	0.365207221290367	0.015293848565769	0.01	0.382359556450936	0.184660633875596
5000	1	1	7	1	1	0.143347568905365	0.014433692805152	0.01	0.144337567297406	0.071796769724491
25000	1	1	7	0.4	1	0.057174001080663	0.014309085381934	0.01	0.057236380703214	0.028594790343852
